Persona6, 22:22:16.915331, , Informatica, 22:22:16.915352, DEFIDER, 22:22:45.217768
Persona144, 22:22:16.964266, , Informatica, 22:23:07.037658, DEFIDER, 22:23:22.109031
Persona280, 22:22:16.991483, , Quimica, 22:23:13.171099, DEFIDER, 22:23:25.198567
Persona292, 22:22:16.994116, , Quimica, 22:23:21.199094, DEFIDER, 22:23:33.243376
Persona155, 22:22:16.966933, , Minas, 22:23:17.153234, DEFIDER, 22:23:32.159977
Persona268, 22:22:16.989076, , Mecanica, 22:23:21.264165, DEFIDER, 22:23:33.306625
Persona445, 22:22:17.027432, , Matematicas, 22:23:11.077355, DEFIDER, 22:23:38.133981
Persona387, 22:22:17.015480, , Matematicas, 22:23:11.044604, DEFIDER, 22:23:38.130381
Persona301, 22:22:16.995968, , Mecanica, 22:23:29.336012, DEFIDER, 22:23:41.383809
Persona332, 22:22:17.003119, , Quimica, 22:23:29.226344, DEFIDER, 22:23:41.276997
Persona312, 22:22:16.998849, , Mecanica, 22:23:37.365397, DEFIDER, 22:23:49.431059
Persona341, 22:22:17.005831, , Quimica, 22:23:37.277620, DEFIDER, 22:23:49.351026
Persona72, 22:22:16.944589, , Minas, 22:22:16.944611, Matematicas, 22:23:29.141555
Persona14, 22:22:16.919628, , DEFIDER, 22:22:16.919654, Matematicas, 22:23:29.111489
Persona53, 22:22:16.937549, , DEFIDER, 22:22:16.937892, Matematicas, 22:23:29.117985
Persona10, 22:22:16.917664, , Fisica, 22:22:16.917688, Matematicas, 22:23:29.128793
Persona19, 22:22:16.922785, , Minas, 22:22:16.923460, Matematicas, 22:23:29.140250
Persona153, 22:22:16.966564, , DEFIDER, 22:22:22.992927, Matematicas, 22:23:29.138187
Persona114, 22:22:16.956542, , DEFIDER, 22:22:20.977082, Matematicas, 22:23:29.134530
Persona46, 22:22:16.933816, , DEFIDER, 22:22:16.933840, Matematicas, 22:23:29.115717
Persona57, 22:22:16.939165, , DEFIDER, 22:22:18.960954, Matematicas, 22:23:29.121810
Persona367, 22:22:17.011093, , Mecanica, 22:23:45.424300, DEFIDER, 22:23:57.463326
Persona198, 22:22:16.975131, , Informatica, 22:23:47.238274, DEFIDER, 22:24:02.280129
Persona419, 22:22:17.022052, , Fisica, 22:23:41.386578, DEFIDER, 22:24:02.421766
Persona361, 22:22:17.009892, , Fisica, 22:23:41.353257, DEFIDER, 22:24:02.423448
Persona403, 22:22:17.018729, , Mecanica, 22:23:53.479883, DEFIDER, 22:24:05.538515
Persona355, 22:22:17.008671, , Quimica, 22:23:53.362034, DEFIDER, 22:24:05.415550
Persona395, 22:22:17.017099, , DEFIDER, 22:22:37.140100, Matematicas, 22:23:47.211361
Persona170, 22:22:16.969792, , DEFIDER, 22:22:25.007748, Matematicas, 22:23:47.161049
Persona80, 22:22:16.947668, , Minas, 22:22:21.931649, Matematicas, 22:23:47.169515
Persona329, 22:22:17.002535, , DEFIDER, 22:22:33.092282, Matematicas, 22:23:47.183958
Persona342, 22:22:17.006055, , DEFIDER, 22:22:35.115995, Matematicas, 22:23:47.199052
Persona77, 22:22:16.946692, , Mecanica, 22:22:16.946717, Matematicas, 22:23:47.163105
Persona336, 22:22:17.004689, , DEFIDER, 22:22:33.097032, Matematicas, 22:23:47.192124
Persona352, 22:22:17.008045, , DEFIDER, 22:22:35.118561, Matematicas, 22:23:47.203378
Persona92, 22:22:16.950533, , Mecanica, 22:22:24.965804, Matematicas, 22:23:47.196865
Persona235, 22:22:16.982439, , DEFIDER, 22:22:29.054811, Matematicas, 22:23:47.174733
Persona421, 22:22:17.022461, , Mecanica, 22:24:01.515238, DEFIDER, 22:24:13.562582
Persona447, 22:22:17.027856, , Fisica, 22:23:55.428945, DEFIDER, 22:24:16.463422
Persona432, 22:22:17.024716, , Mecanica, 22:24:09.549606, DEFIDER, 22:24:21.613234
Persona408, 22:22:17.019779, , Quimica, 22:24:09.417945, DEFIDER, 22:24:21.448136
Persona467, 22:22:17.032366, , DEFIDER, 22:22:41.183152, Matematicas, 22:24:05.223047
Persona173, 22:22:16.970320, , Quimica, 22:22:32.998432, Matematicas, 22:24:05.227932
Persona147, 22:22:16.965032, , Mecanica, 22:22:41.025829, Matematicas, 22:24:05.246262
Persona166, 22:22:16.969090, , Mecanica, 22:22:49.046818, Matematicas, 22:24:05.255799
Persona179, 22:22:16.971408, , Fisica, 22:22:31.006769, Matematicas, 22:24:05.234778
Persona194, 22:22:16.974381, , Mecanica, 22:22:57.065649, Matematicas, 22:24:05.261709
Persona161, 22:22:16.967999, , Mecanica, 22:22:49.043258, Matematicas, 22:24:05.258128
Persona224, 22:22:16.980221, , Quimica, 22:22:57.044491, Matematicas, 22:24:05.260214
Persona186, 22:22:16.972764, , Quimica, 22:22:49.025095, Matematicas, 22:24:05.251548
Persona184, 22:22:16.972357, , Quimica, 22:22:41.013396, Matematicas, 22:24:05.240676
Persona471, 22:22:17.033210, , Mecanica, 22:24:17.619207, DEFIDER, 22:24:29.658327
Persona441, 22:22:17.026575, , Mecanica, 22:24:17.596827, DEFIDER, 22:24:29.656790
Persona492, 22:22:17.037625, , Fisica, 22:24:09.496681, DEFIDER, 22:24:30.532210
Persona456, 22:22:17.030053, , Fisica, 22:24:09.458184, DEFIDER, 22:24:30.530817
Persona487, 22:22:17.036589, , Mecanica, 22:24:25.664108, DEFIDER, 22:24:37.690532
Persona44, 22:22:16.932977, , Matematicas, 22:22:16.933403, Fisica, 22:24:23.532613
Persona52, 22:22:16.937068, , DEFIDER, 22:22:16.937094, Fisica, 22:24:23.525691
Persona2, 22:22:16.913088, , Mecanica, 22:22:16.913112, Fisica, 22:24:23.530437
Persona9, 22:22:16.917092, , DEFIDER, 22:22:16.917411, Fisica, 22:24:23.512565
Persona47, 22:22:16.934352, , Matematicas, 22:22:16.934372, Fisica, 22:24:23.541933
Persona12, 22:22:16.918566, , Informatica, 22:22:16.918594, Mecanica, 22:24:33.709355
Persona8, 22:22:16.916538, , DEFIDER, 22:22:16.916796, Mecanica, 22:24:33.698121
Persona42, 22:22:16.932134, , DEFIDER, 22:22:16.932155, Mecanica, 22:24:33.703884
Persona16, 22:22:16.921069, , DEFIDER, 22:22:16.921091, Mecanica, 22:24:33.687136
Persona474, 22:22:17.033880, , Quimica, 22:24:33.520292, DEFIDER, 22:24:45.561672
Persona327, 22:22:17.002093, , Fisica, 22:23:27.269322, Matematicas, 22:24:23.301181
Persona214, 22:22:16.978254, , Mecanica, 22:23:05.095547, Matematicas, 22:24:23.277053
Persona315, 22:22:16.999546, , Fisica, 22:23:13.167463, Matematicas, 22:24:23.294613
Persona289, 22:22:16.993459, , Quimica, 22:23:21.184597, Matematicas, 22:24:23.283878
Persona296, 22:22:16.994903, , Mecanica, 22:23:29.327457, Matematicas, 22:24:23.299269
Persona228, 22:22:16.981008, , Quimica, 22:23:05.063767, Matematicas, 22:24:23.272438
Persona143, 22:22:16.964016, , Minas, 22:23:07.097062, Matematicas, 22:24:23.281828
Persona317, 22:22:17.000076, , Fisica, 22:23:13.231860, Matematicas, 22:24:23.291479
Persona295, 22:22:16.994733, , Mecanica, 22:23:29.320975, Matematicas, 22:24:23.297351
Persona283, 22:22:16.992212, , Mecanica, 22:23:21.289208, Matematicas, 22:24:23.286927
Persona33, 22:22:16.928835, , DEFIDER, 22:22:16.928856, Quimica, 22:24:41.574073
Persona39, 22:22:16.931048, , Fisica, 22:22:16.931072, Mecanica, 22:24:41.722516
Persona93, 22:22:16.950777, , DEFIDER, 22:22:20.974352, Mecanica, 22:24:41.730319
Persona18, 22:22:16.922221, , Minas, 22:22:16.922243, Mecanica, 22:24:41.718225
Persona89, 22:22:16.949751, , DEFIDER, 22:22:20.972223, Mecanica, 22:24:41.726109
Persona212, 22:22:16.977835, , DEFIDER, 22:22:27.030366, Fisica, 22:24:37.557284
Persona189, 22:22:16.973344, , DEFIDER, 22:22:25.014970, Fisica, 22:24:37.554612
Persona145, 22:22:16.964449, , DEFIDER, 22:22:22.989021, Fisica, 22:24:37.547274
Persona220, 22:22:16.979442, , DEFIDER, 22:22:27.035499, Fisica, 22:24:37.559124
Persona165, 22:22:16.968891, , DEFIDER, 22:22:22.997006, Fisica, 22:24:37.551291
Persona81, 22:22:16.947823, , DEFIDER, 22:22:18.963945, Quimica, 22:24:49.601151
Persona21, 22:22:16.923876, , Mecanica, 22:22:16.923902, Quimica, 22:24:49.590752
Persona22, 22:22:16.924526, , Mecanica, 22:22:16.924548, Quimica, 22:24:49.586642
Persona162, 22:22:16.968169, , DEFIDER, 22:22:22.995228, Mecanica, 22:24:49.759430
Persona38, 22:22:16.930737, , Matematicas, 22:22:16.930758, Mecanica, 22:24:49.750788
Persona120, 22:22:16.957975, , DEFIDER, 22:22:20.978546, Mecanica, 22:24:49.747816
Persona199, 22:22:16.975309, , DEFIDER, 22:22:25.016773, Mecanica, 22:24:49.766708
Persona249, 22:22:16.985197, , Minas, 22:24:47.522487, DEFIDER, 22:25:02.554846
Persona269, 22:22:16.989279, , Informatica, 22:24:47.476468, DEFIDER, 22:25:02.513228
Persona254, 22:22:16.986292, , Minas, 22:24:47.530936, DEFIDER, 22:25:02.553015
Persona343, 22:22:17.006238, , Fisica, 22:23:27.294755, Matematicas, 22:24:41.308009
Persona349, 22:22:17.007449, , Fisica, 22:23:27.305778, Matematicas, 22:24:41.314163
Persona372, 22:22:17.012074, , Fisica, 22:23:41.368582, Matematicas, 22:24:41.320530
Persona388, 22:22:17.015657, , Quimica, 22:24:01.398548, Matematicas, 22:24:41.324800
Persona422, 22:22:17.022683, , Mecanica, 22:24:01.521387, Matematicas, 22:24:41.326421
Persona438, 22:22:17.025995, , Mecanica, 22:24:09.571059, Matematicas, 22:24:41.330427
Persona377, 22:22:17.013305, , Quimica, 22:23:53.368802, Matematicas, 22:24:41.323446
Persona229, 22:22:16.981213, , Informatica, 22:24:07.340410, Matematicas, 22:24:41.331541
Persona414, 22:22:17.021047, , Quimica, 22:24:09.425637, Matematicas, 22:24:41.328294
Persona333, 22:22:17.003333, , Mecanica, 22:23:37.391715, Matematicas, 22:24:41.316620
Persona55, 22:22:16.938456, , DEFIDER, 22:22:18.958687, Quimica, 22:24:57.632733
Persona25, 22:22:16.925895, , Fisica, 22:22:16.925915, Quimica, 22:24:57.649452
Persona88, 22:22:16.949560, , DEFIDER, 22:22:20.969808, Quimica, 22:24:57.654972
Persona234, 22:22:16.982250, , DEFIDER, 22:22:29.051688, Mecanica, 22:24:57.781979
Persona163, 22:22:16.968361, , Fisica, 22:22:16.968381, Mecanica, 22:24:57.795362
Persona400, 22:22:17.018107, , DEFIDER, 22:22:37.146762, Mecanica, 22:24:57.814312
Persona364, 22:22:17.010467, , DEFIDER, 22:22:35.120728, Mecanica, 22:24:57.804841
Persona321, 22:22:17.000896, , DEFIDER, 22:22:31.081903, Fisica, 22:24:51.609632
Persona60, 22:22:16.939974, , Informatica, 22:22:16.940000, Fisica, 22:24:51.592128
Persona231, 22:22:16.981644, , DEFIDER, 22:22:29.048564, Fisica, 22:24:51.604986
Persona337, 22:22:17.004952, , DEFIDER, 22:22:33.101726, Fisica, 22:24:51.618314
Persona225, 22:22:16.980414, , DEFIDER, 22:22:27.036919, Fisica, 22:24:51.585181
Persona90, 22:22:16.949931, , Mecanica, 22:22:16.949957, Quimica, 22:25:05.683049
Persona26, 22:22:16.926314, , Matematicas, 22:22:16.926380, Quimica, 22:25:05.680052
Persona24, 22:22:16.925405, , Matematicas, 22:22:16.925426, Quimica, 22:25:05.677562
Persona117, 22:22:16.957091, , Matematicas, 22:22:16.957110, Mecanica, 22:25:05.851437
Persona140, 22:22:16.963181, , Matematicas, 22:22:16.963201, Mecanica, 22:25:05.846490
Persona451, 22:22:17.028914, , DEFIDER, 22:22:41.178082, Mecanica, 22:25:05.858690
Persona105, 22:22:16.954275, , Matematicas, 22:22:16.954298, Mecanica, 22:25:05.849555
Persona271, 22:22:16.989704, , Informatica, 22:24:57.495930, Matematicas, 22:25:12.523705
Persona454, 22:22:17.029656, , Mecanica, 22:24:17.604168, Matematicas, 22:24:59.338570
Persona488, 22:22:17.036781, , Fisica, 22:24:09.492362, Matematicas, 22:24:59.340531
Persona482, 22:22:17.035540, , Quimica, 22:24:33.527651, Matematicas, 22:24:59.345654
Persona493, 22:22:17.037845, , Mecanica, 22:24:25.673344, Matematicas, 22:24:59.344023
Persona226, 22:22:16.980636, , Minas, 22:24:17.436979, Matematicas, 22:24:59.342246
Persona91, 22:22:16.950268, , Mecanica, 22:22:24.958972, Quimica, 22:25:13.703332
Persona322, 22:22:17.001108, , DEFIDER, 22:22:33.088737, Quimica, 22:25:13.698424
Persona218, 22:22:16.979062, , DEFIDER, 22:22:27.033489, Quimica, 22:25:13.692453
Persona177, 22:22:16.971037, , Fisica, 22:22:31.004751, Mecanica, 22:25:13.886041
Persona85, 22:22:16.948803, , Informatica, 22:22:36.968217, Mecanica, 22:25:13.875543
Persona449, 22:22:17.028268, , DEFIDER, 22:22:41.176418, Mecanica, 22:25:13.873767
Persona192, 22:22:16.973922, , Fisica, 22:22:31.008399, Mecanica, 22:25:13.879137
Persona397, 22:22:17.017498, , DEFIDER, 22:22:37.141863, Fisica, 22:25:05.651897
Persona371, 22:22:17.011885, , DEFIDER, 22:22:35.122713, Fisica, 22:25:05.647158
Persona418, 22:22:17.021856, , DEFIDER, 22:22:39.155196, Fisica, 22:25:05.665215
Persona111, 22:22:16.955926, , Quimica, 22:22:24.966496, Fisica, 22:25:05.638181
Persona115, 22:22:16.956706, , Quimica, 22:22:24.967075, Fisica, 22:25:05.628363
Persona108, 22:22:16.955167, , Mecanica, 22:22:24.976793, Quimica, 22:25:21.720768
Persona131, 22:22:16.960664, , Fisica, 22:22:16.960903, Quimica, 22:25:21.734287
Persona97, 22:22:16.951836, , Mecanica, 22:22:24.973529, Quimica, 22:25:21.712980
Persona200, 22:22:16.975486, , Quimica, 22:22:49.026366, Mecanica, 22:25:21.890792
Persona197, 22:22:16.974913, , Matematicas, 22:22:34.979213, Mecanica, 22:25:21.903251
Persona125, 22:22:16.958891, , Minas, 22:22:46.983527, Mecanica, 22:25:21.896891
Persona119, 22:22:16.957798, , Minas, 22:22:46.973832, Mecanica, 22:25:21.895251
Persona279, 22:22:16.991313, , Informatica, 22:25:17.554012, DEFIDER, 22:25:32.607441
Persona272, 22:22:16.989873, , Minas, 22:24:57.580103, Matematicas, 22:25:12.599874
Persona135, 22:22:16.962026, , Matematicas, 22:22:16.962211, Fisica, 22:25:19.716258
Persona133, 22:22:16.961434, , Matematicas, 22:22:16.961657, Fisica, 22:25:19.723198
Persona99, 22:22:16.952328, , Matematicas, 22:22:16.952567, Fisica, 22:25:19.707093
Persona98, 22:22:16.951967, , Matematicas, 22:22:16.951991, Fisica, 22:25:19.686445
Persona132, 22:22:16.961170, , Matematicas, 22:22:16.961183, Fisica, 22:25:19.699102
Persona94, 22:22:16.951064, , Minas, 22:22:26.939905, Quimica, 22:25:29.754622
Persona393, 22:22:17.016699, , DEFIDER, 22:22:37.136241, Quimica, 22:25:29.745072
Persona104, 22:22:16.954144, , Minas, 22:22:26.944350, Quimica, 22:25:29.751344
Persona127, 22:22:16.959368, , Informatica, 22:22:46.994100, Mecanica, 22:25:29.917441
Persona208, 22:22:16.977050, , Fisica, 22:22:45.021554, Mecanica, 22:25:29.922962
Persona297, 22:22:16.995112, , Matematicas, 22:22:53.010866, Mecanica, 22:25:29.928497
Persona262, 22:22:16.987880, , Matematicas, 22:22:53.001215, Mecanica, 22:25:29.933697
Persona63, 22:22:16.940996, , Matematicas, 22:22:16.941359, DEFIDER, 22:25:39.623001
Persona62, 22:22:16.940633, , Matematicas, 22:22:16.940653, DEFIDER, 22:25:39.621253
Persona167, 22:22:16.969260, , Fisica, 22:22:31.001703, Quimica, 22:25:37.784627
Persona407, 22:22:17.019589, , DEFIDER, 22:22:39.152469, Quimica, 22:25:37.778959
Persona477, 22:22:17.034495, , DEFIDER, 22:22:41.184389, Quimica, 22:25:37.781039
Persona293, 22:22:16.994309, , Quimica, 22:23:21.203634, Mecanica, 22:25:37.941459
Persona304, 22:22:16.996633, , Fisica, 22:23:13.114881, Mecanica, 22:25:37.944922
Persona307, 22:22:16.997409, , Fisica, 22:23:13.127408, Mecanica, 22:25:37.951981
Persona478, 22:22:17.034716, , Matematicas, 22:23:11.092514, Mecanica, 22:25:37.957860
Persona483, 22:22:17.035743, , DEFIDER, 22:22:43.192758, Fisica, 22:25:33.757067
Persona123, 22:22:16.958548, , Quimica, 22:22:32.987382, Fisica, 22:25:33.743475
Persona124, 22:22:16.958723, , Mecanica, 22:22:33.000302, Fisica, 22:25:33.755568
Persona113, 22:22:16.956374, , Mecanica, 22:22:32.986710, Fisica, 22:25:33.751025
Persona443, 22:22:17.027005, , DEFIDER, 22:22:41.175364, Fisica, 22:25:33.734136
Persona216, 22:22:16.978604, , Mecanica, 22:23:05.135144, Quimica, 22:25:45.804968
Persona193, 22:22:16.974131, , Mecanica, 22:22:57.058436, Quimica, 22:25:45.799282
Persona201, 22:22:16.975701, , Fisica, 22:22:31.010717, Quimica, 22:25:45.792635
Persona169, 22:22:16.969595, , Informatica, 22:23:27.129918, Mecanica, 22:25:45.990590
Persona187, 22:22:16.972931, , Informatica, 22:23:27.148274, Mecanica, 22:25:45.984845
Persona338, 22:22:17.005236, , Quimica, 22:23:29.238206, Mecanica, 22:25:45.980070
Persona159, 22:22:16.967670, , Minas, 22:23:27.179346, Mecanica, 22:25:45.995026
Persona222, 22:22:16.979872, , Mecanica, 22:23:05.153031, Quimica, 22:25:53.830895
Persona230, 22:22:16.981440, , Mecanica, 22:23:05.160062, Quimica, 22:25:53.827802
Persona375, 22:22:17.012762, , Matematicas, 22:22:53.021001, Quimica, 22:25:53.833545
Persona334, 22:22:17.004301, , Fisica, 22:23:27.283971, Mecanica, 22:25:54.009876
Persona362, 22:22:17.010109, , Fisica, 22:23:41.357080, Mecanica, 22:25:54.019624
Persona191, 22:22:16.973751, , Informatica, 22:23:37.205195, Mecanica, 22:25:54.012661
Persona164, 22:22:16.968670, , Minas, 22:23:37.224774, Mecanica, 22:25:54.017404
Persona154, 22:22:16.966749, , Mecanica, 22:22:41.027431, Fisica, 22:25:47.815799
Persona495, 22:22:17.038312, , DEFIDER, 22:22:43.196602, Fisica, 22:25:47.789690
Persona112, 22:22:16.956180, , Minas, 22:22:36.960496, Fisica, 22:25:47.792437
Persona96, 22:22:16.951524, , Informatica, 22:22:36.971511, Fisica, 22:25:47.804639
Persona156, 22:22:16.967124, , Mecanica, 22:22:49.037053, Fisica, 22:25:47.823684
Persona303, 22:22:16.996451, , Minas, 22:25:27.680217, Matematicas, 22:25:42.743134
Persona242, 22:22:16.983865, , Fisica, 22:22:59.051527, Quimica, 22:26:01.875913
Persona282, 22:22:16.992021, , Matematicas, 22:22:53.007846, Quimica, 22:26:01.867693
Persona359, 22:22:17.009495, , Matematicas, 22:22:53.015815, Quimica, 22:26:01.872942
Persona190, 22:22:16.973580, , Minas, 22:23:57.356578, Mecanica, 22:26:02.038002
Persona185, 22:22:16.972568, , Minas, 22:23:57.348009, Mecanica, 22:26:02.041760
Persona460, 22:22:17.030884, , Quimica, 22:24:17.468385, Mecanica, 22:26:02.047916
Persona196, 22:22:16.974719, , Minas, 22:24:07.405396, Mecanica, 22:26:02.045730
Persona319, 22:22:17.000478, , Informatica, 22:25:57.711684, DEFIDER, 22:26:12.734984
Persona255, 22:22:16.986485, , Mecanica, 22:23:13.221090, Quimica, 22:26:09.884454
Persona248, 22:22:16.984998, , Mecanica, 22:23:13.204522, Quimica, 22:26:09.887899
Persona259, 22:22:16.987268, , Mecanica, 22:23:13.243741, Quimica, 22:26:09.890192
Persona237, 22:22:16.982798, , Informatica, 22:24:27.407613, Mecanica, 22:26:10.067083
Persona486, 22:22:17.036392, , Quimica, 22:24:33.540146, Mecanica, 22:26:10.070823
Persona243, 22:22:16.984052, , Minas, 22:24:27.493754, Mecanica, 22:26:10.068359
Persona455, 22:22:17.029858, , Fisica, 22:24:09.446111, Mecanica, 22:26:10.065283
Persona223, 22:22:16.980051, , Matematicas, 22:22:34.989371, Fisica, 22:26:01.845154
Persona209, 22:22:16.977259, , Matematicas, 22:22:34.982050, Fisica, 22:26:01.852391
Persona210, 22:22:16.977470, , Matematicas, 22:22:34.984998, Fisica, 22:26:01.858790
Persona171, 22:22:16.969990, , Matematicas, 22:22:34.973454, Fisica, 22:26:01.881006
Persona221, 22:22:16.979644, , Quimica, 22:22:57.040641, Fisica, 22:26:01.886321
Persona340, 22:22:17.005618, , Informatica, 22:26:07.741545, DEFIDER, 22:26:22.763744
Persona404, 22:22:17.018961, , Matematicas, 22:23:11.070765, Quimica, 22:26:17.902808
Persona323, 22:22:17.001298, , Fisica, 22:23:13.246333, Quimica, 22:26:17.895188
Persona464, 22:22:17.031722, , Matematicas, 22:23:11.085295, Quimica, 22:26:17.900595
Persona498, 22:22:17.038956, , Quimica, 22:24:41.567023, Mecanica, 22:26:18.080097
Persona264, 22:22:16.988269, , Informatica, 22:24:47.461333, Mecanica, 22:26:18.081410
Persona253, 22:22:16.986009, , Informatica, 22:24:37.421524, Mecanica, 22:26:18.077087
Persona270, 22:22:16.989519, , Minas, 22:24:57.550134, Mecanica, 22:26:18.083392
Persona374, 22:22:17.012550, , Matematicas, 22:22:53.019145, Fisica, 22:26:15.906366
Persona314, 22:22:16.999278, , Matematicas, 22:22:53.011666, Fisica, 22:26:15.914585
Persona267, 22:22:16.988902, , Quimica, 22:23:13.149011, Fisica, 22:26:15.924071
Persona150, 22:22:16.965779, , Informatica, 22:23:07.068478, Fisica, 22:26:15.918544
Persona273, 22:22:16.990073, , Quimica, 22:23:13.162138, Fisica, 22:26:15.925910
Persona411, 22:22:17.020407, , Matematicas, 22:23:11.075917, Quimica, 22:26:25.917394
Persona160, 22:22:16.967838, , Minas, 22:23:27.188108, Quimica, 22:26:25.920689
Persona401, 22:22:17.018321, , Matematicas, 22:23:11.064095, Quimica, 22:26:25.911827
Persona302, 22:22:16.996254, , Informatica, 22:25:37.623207, Mecanica, 22:26:26.090070
Persona313, 22:22:16.999067, , Minas, 22:25:37.724664, Mecanica, 22:26:26.091298
Persona379, 22:22:17.013810, , Minas, 22:26:27.875064, DEFIDER, 22:26:42.901888
Persona180, 22:22:16.971584, , Minas, 22:23:37.292557, Quimica, 22:26:33.928098
Persona354, 22:22:17.008484, , Fisica, 22:23:27.319093, Quimica, 22:26:33.926144
Persona183, 22:22:16.972187, , Minas, 22:23:47.306167, Quimica, 22:26:33.928788
Persona28, 22:22:16.927093, , Mecanica, 22:22:16.927152, DEFIDER, 22:26:46.126541
Persona58, 22:22:16.939373, , Mecanica, 22:22:16.939413, DEFIDER, 22:26:46.128157
Persona351, 22:22:17.007866, , Minas, 22:26:07.825410, Matematicas, 22:26:22.860732
Persona350, 22:22:17.007682, , Minas, 22:26:07.815300, Matematicas, 22:26:22.859116
Persona448, 22:22:17.028058, , Matematicas, 22:23:11.080876, Fisica, 22:26:29.957978
Persona339, 22:22:17.005433, , Quimica, 22:23:37.262592, Fisica, 22:26:29.965479
Persona470, 22:22:17.033016, , Matematicas, 22:23:11.089144, Fisica, 22:26:29.960388
Persona275, 22:22:16.990502, , Mecanica, 22:23:21.279695, Fisica, 22:26:29.950949
Persona168, 22:22:16.969426, , Informatica, 22:23:17.101785, Fisica, 22:26:29.943926
Persona416, 22:22:17.021413, , Mecanica, 22:23:53.490873, Quimica, 22:26:41.942762
Persona425, 22:22:17.023265, , Fisica, 22:23:55.398693, Quimica, 22:26:41.944785
Persona433, 22:22:17.024935, , Fisica, 22:23:55.416687, Quimica, 22:26:41.945796
Persona233, 22:22:16.982022, , Informatica, 22:24:17.365369, Quimica, 22:26:49.965536
Persona236, 22:22:16.982605, , Informatica, 22:24:17.375367, Quimica, 22:26:49.963347
Persona458, 22:22:17.030493, , Mecanica, 22:24:17.610954, Quimica, 22:26:49.962047
Persona383, 22:22:17.014675, , Minas, 22:26:37.902565, Mecanica, 22:26:52.932008
Persona318, 22:22:17.000293, , Mecanica, 22:23:37.375317, Fisica, 22:26:43.972105
Persona480, 22:22:17.035120, , Matematicas, 22:23:29.104446, Fisica, 22:26:43.974479
Persona353, 22:22:17.008254, , Quimica, 22:23:45.344537, Fisica, 22:26:43.975634
Persona182, 22:22:16.972012, , Minas, 22:23:47.299801, Fisica, 22:26:43.975986
Persona373, 22:22:17.012328, , Mecanica, 22:23:53.448563, Fisica, 22:26:43.977416
Persona380, 22:22:17.014027, , Informatica, 22:26:47.861876, DEFIDER, 22:27:02.911071
Persona256, 22:22:16.986651, , Informatica, 22:24:37.424729, Quimica, 22:26:57.976882
Persona239, 22:22:16.983226, , Informatica, 22:24:27.415689, Quimica, 22:26:57.971725
Persona240, 22:22:16.983398, , Minas, 22:24:27.472445, Quimica, 22:26:57.975555
Persona78, 22:22:16.946999, , Matematicas, 22:22:16.947014, Quimica, 22:27:05.987303
Persona245, 22:22:16.984418, , Minas, 22:24:37.502466, Quimica, 22:27:05.985813
Persona247, 22:22:16.984832, , Minas, 22:24:37.505402, Quimica, 22:27:05.983171
